,Year,AFG,ALB,DZA,ASM,AND,AGO,ATG,ARG,AUS,AUT,BHS,BHR,BGD,BRB,BLZ,BEN,BTN,BOL,BWA,BRA,VGB,BRN,BGR,BFA,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,HKG,MAC,CHN,COL,COM,COD,COG,CRI,CUB,CYP,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,SWZ,FRO,FJI,FIN,FRA,PYF,GAB,GMB,DEU,GHA,GIB,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KEN,KIR,PRK,KOR,KWT,LAO,LBN,LSO,LBR,LBY,LIE,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,MCO,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROU,WSM,SMR,STP,SAU,SEN,SYC,SLE,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SUR,SWE,CHE,SYR,TZA,THA,TLS,TGO,TON,TTO,TUN,TCA,TUV,UGA,ARE,GBR,USA,VIR,URY,VUT,VEN,VNM,PSE,WLD,ZMB,ZWE
count,51.0,51.0,51.0,51.0,48.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,44.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,51.0,51.0,51.0,46.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,50.0,39.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,51.0,47.0,51.0,51.0,51.0,50.0,42.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,41.0,51.0,51.0,51.0,51.0,45.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
mean,1997.0,0.5914117647058825,0.5588235294117648,0.8642156862745098,0.6117291666666667,0.9512156862745098,0.5948823529411764,0.4820999999999999,0.3858627450980392,0.5945294117647059,0.9999803921568626,0.5416666666666666,0.8863137254901962,0.3034313725490196,0.3622045454545454,0.6162549019607844,0.6244509803921567,0.504,0.5444313725490196,0.2590980392156863,0.6631764705882354,0.5160588235294118,0.6225882352941177,0.6163921568627451,0.669078431372549,0.9756086956521739,0.5780980392156863,0.5397647058823528,0.8024509803921568,0.7699347826086955,0.5577254901960785,0.5701960784313725,0.3233333333333333,0.5058823529411764,0.5058823529411764,0.7227647058823529,0.4790980392156862,0.34730000000000005,0.6063137254901961,0.5051000000000001,0.4296666666666666,0.7554705882352942,0.4976274509803921,0.9182549019607844,0.7057799999999999,0.4635294117647058,0.7015882352941176,0.643156862745098,0.42984313725490203,0.5212745098039216,0.5205918367346939,0.5080392156862745,0.524156862745098,0.4802156862745098,1.0174509803921568,0.9171960784313725,0.4305490196078431,0.4853725490196078,0.9506666666666665,0.9608235294117646,0.6595686274509805,0.7839607843137255,0.39515686274509804,0.5455686274509804,0.4540588235294118,0.5418235294117647,0.7290980392156863,0.8820392156862744,0.6067450980392156,0.7586274509803921,0.5664509803921568,0.8141176470588236,0.4721176470588236,0.3857843137254902,0.4642745098039216,0.8293137254901962,0.751843137254902,0.5594117647058823,0.5654705882352942,0.3948235294117647,0.7822549019607844,0.7969791666666667,0.4694705882352942,0.42768627450980395,0.5908627450980393,0.3200851063829787,0.782686274509804,0.6079215686274508,0.9211764705882354,0.646686274509804,0.5023921568627452,0.6032352941176471,0.7618823529411765,0.5552156862745098,0.9733529411764705,0.5401176470588235,0.5988627450980393,0.6723725490196077,0.468921568627451,0.7447254901960784,0.7637647058823528,1.0842156862745096,0.46672549019607845,0.5505882352941176,0.8572352941176472,1.0918235294117646,0.9030196078431373,0.4708823529411765,0.5938039215686274,0.5099019607843136,0.3094313725490196,0.9354901960784314,0.8309803921568628,0.3800588235294117,0.5801176470588235,0.5745098039215687,0.6480784313725488,0.8451960784313727,0.3636470588235294,0.36672549019607836,0.5534705882352943,0.4231176470588235,0.44762745098039225,0.5958235294117646,0.6518235294117648,0.9106274509803921,0.7992941176470587,0.569843137254902,0.7574509803921569,0.6899019607843137,0.4973125,0.8018823529411766,0.5894468085106382,0.6269803921568629,0.963764705882353,0.49260784313725486,0.72268,0.4348809523809523,0.6723529411764706,0.5528039215686275,0.844549019607843,0.553921568627451,0.4820999999999999,0.4529803921568628,0.4541764705882353,0.7141372549019608,0.9633333333333333,0.966764705882353,0.5694509803921568,0.5464117647058824,0.6428823529411765,0.547560975609756,0.6279411764705882,0.48890196078431375,0.45807843137254906,0.9062941176470588,0.7099555555555556,0.45138775510204077,0.6272352941176471,0.4982549019607843,0.5994509803921568,0.6184705882352941,0.5164705882352941,0.45572549019607844,0.44388235294117645,0.4897450980392158,0.5159411764705882,0.39496078431372555,0.6964117647058824,0.501235294117647,0.24137254901960786
std,14.866068747318506,0.6755574343154129,0.7263054097521882,0.7245319127195293,0.4977812789613498,0.8206043215515135,0.4820105661521882,0.40125015099494904,0.36634868743358934,0.45230354201315637,0.8588883627153432,0.43203850137073047,0.8901421344975436,0.4509562397795139,0.3926084255244808,0.44099659151232706,0.4018618326602062,0.5500521793430146,0.37272731345593446,0.6336681861953293,0.4592982780669813,0.3989995193864126,0.522009815098168,0.8379719823104199,0.42984973389021686,0.6048677900816516,0.421631747139703,0.4676846624910975,0.9335207617128929,0.3956187503799256,0.4405516123421351,0.46359948315794497,0.32909905297139147,0.603365681724071,0.603365681724071,0.5676862720987815,0.44235027997739346,0.34954251442100015,0.5204366047924023,0.5256748529465798,0.38917411428314475,0.43160928409575144,0.7496371111620426,0.9384561970201327,0.5388201506011793,0.3791337153533658,0.4390467937006527,0.45236226069596125,0.6870845762364053,0.3453324820187856,0.48332429237380514,0.497524027993998,0.5699446770538004,0.4067877733524198,1.059371479958291,0.7897960247964748,0.31619552898328523,0.49958802871102964,0.45735398398468846,0.8810951073722371,0.4151697606956442,0.6803853602418063,0.6964140542105399,1.1719964548564463,0.4284492227447591,0.41756703442117427,0.4462678233931709,0.46438793958432273,0.531621175016092,0.4477224569209954,0.40522948134238657,0.8934244377015623,0.6538289882548441,0.3560507443455492,0.3836827376065477,0.8185180386575749,0.918596437453336,0.5620541317869868,0.5936741986288837,0.7533470038669394,0.7170316825116517,0.42986318900187914,0.5510399024731758,0.8077686176175967,0.4714490860997756,0.3905982496113429,0.6584657467232773,0.6368553004611726,0.9155735624379365,0.5381341650628059,0.794084078128541,0.518613597516891,0.480919604385549,0.6082769209406351,0.798647126671834,0.4207607228370454,0.442672295026822,0.5031022942020564,0.38944277336405947,0.47930341448528696,0.7208803115146174,0.6251634766595212,0.4224056854935252,0.5072331289050661,0.767831038399342,0.7921242505032239,0.7504143252949287,0.39649114224955,0.5119065547385712,0.5348500819819312,0.40841107991345976,0.8752902003918247,0.565378651531735,0.4529263256541711,0.3891337891809871,0.44394438266742464,0.4419855582770666,0.8486148718849519,0.5392800320252703,0.5501790282601244,0.45342048268428176,0.35042109794125254,0.45189839392431186,0.44980394421936115,0.4445962080757034,0.9582020864261216,0.7004029210138302,0.40996045529045944,0.8222332105607385,0.9140664364235668,0.5149552823490103,0.7680324640810132,0.5024671656376571,0.8060509534811326,0.473019813041073,0.44827072527352807,0.47701475782587005,0.3482704445616487,0.4864789748192377,0.46464769533950534,0.7147038355493971,0.41114196298297034,0.40125015099494904,0.39299956693085947,0.4276532102478527,0.5711605385391342,0.9745440301323829,0.8117031129233223,0.8604230195369135,0.42002148404435635,0.49490603742766454,0.5865936859863259,0.4133262833048344,0.39030061516231107,0.46421912253319575,0.7827608394424864,0.46504364191857184,0.34898906479564473,0.4986214832209015,0.7007126898561851,0.6124069664438997,0.5645639149978035,0.40154458546672883,0.40811067510818055,0.4059938741931373,0.4312120983060311,0.49208956143225424,0.7542889356416231,0.5130815988308521,0.4354843091655677,0.4655213834308501
min,1972.0,-1.124,-0.814,-0.782,-0.308,-0.499,-0.313,-0.467,-0.321,-0.522,-0.568,-0.241,-0.834,-0.446,-0.556,-0.416,-0.274,-0.3,-0.249,-1.305,-0.185,-0.368,-0.337,-0.838,-0.316,-0.568,-0.485,-0.384,-1.796,-0.077,-0.457,-0.279,-0.262,-0.769,-0.769,-0.396,-0.306,-0.433,-0.213,-0.314,-0.398,-0.194,-0.928,-1.191,-0.13,-0.434,-0.438,-0.314,-1.123,-0.311,-0.349,-0.436,-0.873,-0.319,-1.652,-0.338,-0.342,-0.374,-0.212,-0.8,-0.353,-0.865,-0.916,-2.062,-0.447,-0.392,-0.248,-0.195,-0.462,-0.431,-0.327,-1.068,-1.239,-0.308,-0.131,-0.959,-1.169,-0.726,-0.777,-1.066,-0.537,-0.325,-0.686,-1.11,-0.208,-0.294,-0.702,-0.808,-0.766,-0.49,-1.017,-0.422,-0.193,-0.55,-0.371,-0.291,-0.325,-0.239,-0.318,-0.471,-0.706,-0.679,-0.686,-0.495,-0.603,-0.444,-1.303,-0.295,-0.391,-0.71,-0.423,-0.902,-0.207,-0.716,-0.252,-0.409,-0.412,-1.07,-0.706,-0.584,-0.401,-0.344,-0.435,-0.281,-0.141,-1.081,-0.906,-0.391,-0.826,-1.193,-0.426,-0.585,-0.351,-0.985,-0.432,-0.471,-0.195,-0.327,-0.101,-0.504,-0.825,-0.245,-0.467,-0.417,-0.451,-0.364,-1.201,-0.362,-1.12,-0.232,-0.501,-0.727,-0.295,-0.161,-0.534,-0.731,-0.35,-0.122,-0.109,-0.801,-0.781,-0.389,-0.387,-0.504,-0.321,-0.409,-0.551,-1.068,-0.314,-0.405,-0.49
25%,1984.5,0.192,-0.086,0.3925,0.2525,0.2385,0.264,0.20675000000000002,0.14750000000000002,0.2945,0.3165,0.236,0.189,-0.0325,0.1815,0.34299999999999997,0.4085,0.081,0.2825,-0.1595,0.3035,0.2125,0.20700000000000002,-0.0325,0.3785,0.54,0.3585,0.197,0.2565,0.462,0.21600000000000003,0.2535,0.08,0.043000000000000003,0.043000000000000003,0.2645,0.16699999999999998,0.13975,0.20900000000000002,0.0375,0.14900000000000002,0.499,-0.010000000000000002,0.3005,0.276,0.22249999999999998,0.4215,0.3305,-0.1005,0.3245,0.151,0.179,0.1145,0.1575,0.194,0.2225,0.2195,0.11399999999999999,0.675,0.291,0.41200000000000003,0.33499999999999996,-0.194,-0.33799999999999997,0.20750000000000002,0.3095,0.4265,0.5475,0.1815,0.447,0.2635,0.1255,0.109,0.0895,0.21150000000000002,0.241,0.134,0.2225,0.1935,-0.188,0.21250000000000002,0.5467500000000001,0.1185,-0.1175,0.2225,0.10300000000000001,0.40149999999999997,0.29500000000000004,0.2365,0.28200000000000003,-0.048,0.2975,0.40249999999999997,0.11750000000000001,0.2825,0.27649999999999997,0.21000000000000002,0.2795,0.17149999999999999,0.4105,0.2405,0.7050000000000001,0.19,0.16999999999999998,0.20350000000000001,0.4635,0.4225,0.127,0.2025,0.14500000000000002,0.0010000000000000009,0.2575,0.358,0.11349999999999999,0.22999999999999998,0.311,0.3775,0.224,-0.07100000000000001,-0.134,0.1905,0.228,0.137,0.23,0.33199999999999996,0.3845,0.36,0.2875,0.065,0.038,0.1035,0.2265,0.2,-0.004499999999999999,0.6819999999999999,0.23299999999999998,0.3905,0.2065,0.281,0.254,0.2905,0.218,0.20675000000000002,0.256,0.2075,0.254,0.378,0.28500000000000003,-0.077,0.20350000000000001,0.3565,0.231,0.40249999999999997,0.21100000000000002,0.20750000000000002,0.4165,0.36,0.151,0.2425,-0.11249999999999999,0.147,0.268,0.1955,0.1475,0.1085,0.185,0.1235,-0.187,0.30000000000000004,0.15250000000000002,-0.0245
50%,1997.0,0.498,0.492,0.988,0.503,0.946,0.552,0.5145,0.386,0.604,0.986,0.426,0.998,0.226,0.3865,0.579,0.621,0.476,0.537,0.287,0.671,0.533,0.511,0.422,0.724,1.0225,0.537,0.547,0.851,0.79,0.504,0.553,0.327,0.37,0.37,0.733,0.467,0.312,0.506,0.4265,0.498,0.736,0.585,1.032,0.6745000000000001,0.51,0.71,0.663,0.511,0.513,0.492,0.566,0.508,0.446,1.165,0.992,0.397,0.385,1.028,1.121,0.657,0.83,0.33,0.76,0.471,0.52,0.702,0.902,0.61,0.775,0.566,0.806,0.471,0.365,0.405,0.802,0.881,0.568,0.636,0.393,0.84,0.891,0.458,0.498,0.561,0.25,0.778,0.596,0.993,0.512,0.544,0.594,0.781,0.541,0.942,0.515,0.676,0.59,0.46,0.83,0.942,1.2,0.401,0.549,0.851,1.024,0.993,0.479,0.509,0.482,0.305,1.149,0.788,0.391,0.576,0.588,0.646,0.977,0.473,0.358,0.551,0.367,0.394,0.604,0.574,0.881,0.756,0.582,0.765,0.556,0.388,0.832,0.644,0.655,1.022,0.5,0.622,0.374,0.617,0.535,0.864,0.559,0.5145,0.517,0.469,0.775,1.145,0.98,0.542,0.499,0.592,0.552,0.608,0.39,0.512,1.014,0.74,0.412,0.448,0.445,0.631,0.584,0.541,0.447,0.438,0.518,0.416,0.396,0.728,0.544,0.17
75%,2009.5,1.1455,1.1945000000000001,1.2850000000000001,1.0147499999999998,1.5205,0.8825000000000001,0.7635000000000001,0.606,0.908,1.5630000000000002,0.849,1.4935,0.548,0.5385,0.8494999999999999,0.9495,0.9075,0.8245,0.736,0.996,0.8035,0.9025000000000001,1.326,1.0034999999999998,1.4492500000000001,0.784,0.9325,1.322,1.047,0.962,0.8975,0.5505,0.9035,0.9035,1.181,0.7565,0.52775,0.9490000000000001,0.84675,0.704,1.0234999999999999,1.039,1.6355,1.12,0.7095,0.9989999999999999,0.964,0.8274999999999999,0.6739999999999999,0.839,0.7755000000000001,0.8835,0.7464999999999999,1.7970000000000002,1.399,0.6765000000000001,0.8274999999999999,1.2685,1.5165000000000002,0.976,1.3075,0.972,1.3719999999999999,0.704,0.6885,1.115,1.189,1.0455,1.1400000000000001,0.8005,1.4625,0.8634999999999999,0.6105,0.6585,1.5265,1.291,1.0215,1.0345,0.863,1.5194999999999999,1.0939999999999999,0.8775,0.962,0.91,0.5275000000000001,1.342,0.9764999999999999,1.5630000000000002,0.9715,1.0465,0.9590000000000001,1.1135000000000002,0.892,1.5375,0.8294999999999999,0.9724999999999999,0.9195,0.682,1.085,1.3165,1.5225,0.7435,0.9025000000000001,1.3995,1.762,1.399,0.7525,0.922,0.8514999999999999,0.611,1.5335,1.1375,0.593,0.8414999999999999,0.8525,0.9670000000000001,1.492,0.796,0.77,0.9225000000000001,0.656,0.7104999999999999,0.862,0.8935,1.59,1.3199999999999998,0.8565,1.44,1.4085,0.918,1.5225,0.905,1.2029999999999998,1.272,0.8414999999999999,1.0790000000000002,0.6859999999999999,1.052,0.8305,1.4375,0.8374999999999999,0.7635000000000001,0.7104999999999999,0.7035,1.127,1.6400000000000001,1.4809999999999999,1.155,0.8955,0.9115,0.823,0.948,0.764,0.715,1.403,1.002,0.689,1.1005,1.0725,1.0755,1.013,0.8015,0.7295,0.6975,0.7929999999999999,0.865,0.859,1.037,0.8385,0.485
max,2022.0,2.012,2.028,2.33,1.539,3.243,1.752,1.153,1.123,1.499,2.524,1.611,2.464,1.337,1.147,1.716,1.522,1.707,1.533,1.546,1.517,1.317,1.783,2.192,1.624,2.0,1.552,1.47,2.915,1.355,1.268,1.527,1.022,2.017,2.017,1.906,1.583,1.296,1.692,1.5,1.139,1.722,2.119,2.677,1.811,1.193,1.488,1.55,2.325,1.484,1.602,1.623,1.764,1.346,3.317,2.929,1.127,1.534,1.77,2.596,1.494,2.228,1.905,3.058,1.235,1.728,1.559,1.674,1.506,1.537,1.813,2.524,1.784,1.134,1.488,2.37,2.712,1.764,1.84,2.321,2.135,1.623,1.437,2.625,1.624,1.425,1.864,1.762,2.676,2.2,2.353,2.015,1.593,2.074,2.534,1.438,1.366,1.836,1.555,1.687,2.123,2.141,1.462,1.726,2.737,2.729,2.303,1.262,1.726,1.821,1.169,2.601,2.421,1.319,1.526,1.557,1.559,2.412,1.421,1.389,1.481,1.221,1.493,1.778,1.603,2.677,2.318,1.349,2.165,2.266,1.44,2.115,1.624,2.203,1.782,1.434,1.728,1.185,1.724,1.811,2.489,1.369,1.153,1.177,1.229,1.79,2.943,2.798,2.475,1.45,1.857,1.996,1.554,1.599,1.395,2.555,1.547,1.195,1.735,1.699,1.911,2.224,1.32,1.546,1.479,1.35,1.811,2.326,1.711,1.45,1.27
